# exposition=150.0;  scans=25
 1.57600997924805E+0002 2382
 1.57869003295898E+0002 2369
 1.58136001586914E+0002 2335
 1.58404006958008E+0002 2381
 1.58671997070313E+0002 2389
 1.58938995361328E+0002 2366
 1.59207000732422E+0002 2388
 1.59475006103516E+0002 2407
 1.59742996215820E+0002 2396
 1.60009994506836E+0002 2418
 1.60277999877930E+0002 2397
 1.60546005249023E+0002 2358
 1.60813995361328E+0002 2381
 1.61080993652344E+0002 2400
 1.61348999023438E+0002 2365
 1.61617004394531E+0002 2369
 1.61884994506836E+0002 2372
 1.62151992797852E+0002 2361
 1.62419998168945E+0002 2366
 1.62688003540039E+0002 2391
 1.62955993652344E+0002 2426
 1.63223007202148E+0002 2405
 1.63490997314453E+0002 2355
 1.63759002685547E+0002 2391
 1.64026000976563E+0002 2420
 1.64294006347656E+0002 2392
 1.64561996459961E+0002 2375
 1.64830001831055E+0002 2355
 1.65097000122070E+0002 2357
 1.65365005493164E+0002 2362
 1.65632995605469E+0002 2364
 1.65901000976563E+0002 2369
 1.66167999267578E+0002 2375
 1.66436004638672E+0002 2400
 1.66703994750977E+0002 2410
 1.66972000122070E+0002 2419
 1.67238998413086E+0002 2387
 1.67507003784180E+0002 2337
 1.67774993896484E+0002 2343
 1.68042999267578E+0002 2357
 1.68309997558594E+0002 2388
 1.68578002929688E+0002 2406
 1.68845993041992E+0002 2351
 1.69113006591797E+0002 2353
 1.69380996704102E+0002 2369
 1.69649002075195E+0002 2375
 1.69917007446289E+0002 2398
 1.70184005737305E+0002 2417
 1.70451995849609E+0002 2380
 1.70720001220703E+0002 2403
 1.70988006591797E+0002 2359
 1.71255004882813E+0002 2356
 1.71522994995117E+0002 2376
 1.71791000366211E+0002 2372
 1.72059005737305E+0002 2369
 1.72326004028320E+0002 2384
 1.72593994140625E+0002 2377
 1.72861999511719E+0002 2356
 1.73130004882813E+0002 2362
 1.73397003173828E+0002 2348
 1.73664993286133E+0002 2363
 1.73932998657227E+0002 2396
 1.74201004028320E+0002 2383
 1.74468002319336E+0002 2343
 1.74735992431641E+0002 2373
 1.75003997802734E+0002 2391
 1.75270996093750E+0002 2387
 1.75539001464844E+0002 2369
 1.75807006835938E+0002 2370
 1.76074996948242E+0002 2386
 1.76341995239258E+0002 2389
 1.76610000610352E+0002 2357
 1.76878005981445E+0002 2377
 1.77145996093750E+0002 2386
 1.77412994384766E+0002 2375
 1.77680999755859E+0002 2359
 1.77949005126953E+0002 2369
 1.78216995239258E+0002 2386
 1.78483993530273E+0002 2371
 1.78751998901367E+0002 2352
 1.79020004272461E+0002 2362
 1.79287994384766E+0002 2375
 1.79554992675781E+0002 2395
 1.79822998046875E+0002 2393
 1.80091003417969E+0002 2440
 1.80358001708984E+0002 2425
 1.80626007080078E+0002 2412
 1.80893997192383E+0002 2389
 1.81162002563477E+0002 2385
 1.81429000854492E+0002 2383
 1.81697006225586E+0002 2371
 1.81964996337891E+0002 2358
 1.82233001708984E+0002 2366
 1.82500000000000E+0002 2369
 1.82768005371094E+0002 2346
 1.83035995483398E+0002 2356
 1.83304000854492E+0002 2387
 1.83570999145508E+0002 2376
 1.83839004516602E+0002 2365
 1.84106994628906E+0002 2411
 1.84375000000000E+0002 2375
 1.84641998291016E+0002 2366
 1.84910003662109E+0002 2370
 1.85167007446289E+0002 2350
 1.85425003051758E+0002 2372
 1.85682006835938E+0002 2369
 1.85940002441406E+0002 2370
 1.86197006225586E+0002 2370
 1.86455001831055E+0002 2371
 1.86712005615234E+0002 2364
 1.86970001220703E+0002 2385
 1.87227005004883E+0002 2382
 1.87485000610352E+0002 2362
 1.87742004394531E+0002 2368
 1.87998992919922E+0002 2365
 1.88257003784180E+0002 2381
 1.88514007568359E+0002 2388
 1.88772003173828E+0002 2386
 1.89029006958008E+0002 2426
 1.89287002563477E+0002 2396
 1.89544006347656E+0002 2365
 1.89802001953125E+0002 2354
 1.90059005737305E+0002 2365
 1.90317001342773E+0002 2346
 1.90574005126953E+0002 2346
 1.90830993652344E+0002 2365
 1.91089004516602E+0002 2358
 1.91345993041992E+0002 2381
 1.91604003906250E+0002 2388
 1.91860992431641E+0002 2386
 1.92119003295898E+0002 2378
 1.92376007080078E+0002 2362
 1.92634002685547E+0002 2377
 1.92891006469727E+0002 2398
 1.93149002075195E+0002 2366
 1.93406005859375E+0002 2354
 1.93662994384766E+0002 2369
 1.93921005249023E+0002 2365
 1.94177993774414E+0002 2365
 1.94436004638672E+0002 2358
 1.94692993164063E+0002 2382
 1.94951004028320E+0002 2402
 1.95207992553711E+0002 2356
 1.95466003417969E+0002 2339
 1.95723007202148E+0002 2355
 1.95979995727539E+0002 2390
 1.96238006591797E+0002 2351
 1.96494995117188E+0002 2351
 1.96753005981445E+0002 2379
 1.97009994506836E+0002 2643
 1.97268005371094E+0002 2807
 1.97524993896484E+0002 2377
 1.97783004760742E+0002 2400
 1.98039993286133E+0002 2399
 1.98298004150391E+0002 2399
 1.98554992675781E+0002 2402
 1.98811996459961E+0002 2377
 1.99070007324219E+0002 2341
 1.99326995849609E+0002 2358
 1.99585006713867E+0002 2379
 1.99841995239258E+0002 2408
 2.00100006103516E+0002 2378
 2.00356994628906E+0002 2371
 2.00615005493164E+0002 2371
 2.00871994018555E+0002 2365
 2.01130004882813E+0002 2382
 2.01386993408203E+0002 2372
 2.01643997192383E+0002 2396
 2.01901992797852E+0002 2410
 2.02158996582031E+0002 2373
 2.02417007446289E+0002 2343
 2.02673995971680E+0002 2377
 2.02932006835938E+0002 2385
 2.03188995361328E+0002 2364
 2.03447006225586E+0002 2392
 2.03703994750977E+0002 2375
 2.03962005615234E+0002 2357
 2.04218994140625E+0002 2384
 2.04475997924805E+0002 2408
 2.04733993530273E+0002 2378
 2.04990997314453E+0002 2385
 2.05248992919922E+0002 2380
 2.05505996704102E+0002 2395
 2.05764007568359E+0002 2365
 2.06020996093750E+0002 2380
 2.06279006958008E+0002 2413
 2.06535995483398E+0002 2382
 2.06794006347656E+0002 2364
 2.07050994873047E+0002 2379
 2.07307998657227E+0002 2412
 2.07565994262695E+0002 2434
 2.07822998046875E+0002 2402
 2.08080993652344E+0002 2385
 2.08337997436523E+0002 2364
 2.08595993041992E+0002 2400
 2.08852996826172E+0002 2398
 2.09110992431641E+0002 2359
 2.09367996215820E+0002 2364
 2.09626007080078E+0002 2398
 2.09882995605469E+0002 2396
 2.10139999389648E+0002 2368
 2.10397994995117E+0002 2375
 2.10654998779297E+0002 2390
 2.10912994384766E+0002 2381
 2.11169998168945E+0002 2368
 2.11427993774414E+0002 2350
 2.11684997558594E+0002 2355
 2.11942993164063E+0002 2379
 2.12199996948242E+0002 2377
 2.12457000732422E+0002 2341
 2.12714996337891E+0002 2345
 2.12972000122070E+0002 2380
 2.13229995727539E+0002 2370
 2.13486999511719E+0002 2397
 2.13744995117188E+0002 2431
 2.14001998901367E+0002 2407
 2.14259994506836E+0002 2360
 2.14516998291016E+0002 2390
 2.14774993896484E+0002 2411
 2.15031997680664E+0002 2382
 2.15289001464844E+0002 2389
 2.15546997070313E+0002 2402
 2.15804000854492E+0002 2382
